response,seq_type,id,model,rank,target_length,sub-seq-n,human_response,data-category,dataset,response_category,SNAFU_switch,human_response_category,SNAFU_human_switch
turtle,rank-1,591,gemini-3-pro-preview,34,35,1,turkey,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Bird', 'Farm']",False
fish,rank-1,591,gemini-3-pro-preview,35,35,1,panda,animals-gen,hills,"['Fish', 'Water']",False,['Asian'],True
dog,rank-1,1099,gemini-3-pro-preview,1,35,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True
cat,rank-1,1099,gemini-3-pro-preview,2,35,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False
mouse,rank-1,1099,gemini-3-pro-preview,3,35,1,bird,animals-gen,hills,"['Bird', 'Rodents']",True,['Bird'],True
rat,rank-1,1099,gemini-3-pro-preview,4,35,1,lion,animals-gen,hills,['Rodents'],False,"['African', 'Feline']",True
hamster,rank-1,1099,gemini-3-pro-preview,5,35,1,tiger,animals-gen,hills,"['Pets', 'Rodents']",False,"['African', 'Feline']",False
rabbit,rank-1,1099,gemini-3-pro-preview,6,35,1,bear,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['NorthAmerican'],True
cow,rank-1,1099,gemini-3-pro-preview,7,35,1,insect,animals-gen,hills,"['Bovine', 'Farm']",True,['Insects'],True
horse,rank-1,1099,gemini-3-pro-preview,8,35,1,spider,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,"['Arachnid', 'Farm']",True
sheep,rank-1,1099,gemini-3-pro-preview,9,35,1,fly,animals-gen,hills,['Farm'],False,['Insects'],True
pig,rank-1,1099,gemini-3-pro-preview,10,35,1,worm,animals-gen,hills,['Farm'],False,"['Insects', 'Worms']",False
goat,rank-1,1099,gemini-3-pro-preview,11,35,1,pig,animals-gen,hills,['Farm'],False,['Farm'],True
chicken,rank-1,1099,gemini-3-pro-preview,12,35,1,chicken,animals-gen,hills,"['Bird', 'Farm']",False,"['Bird', 'Farm']",False
duck,rank-1,1099,gemini-3-pro-preview,13,35,1,rooster,animals-gen,hills,['Bird'],False,['Farm'],False
goose,rank-1,1099,gemini-3-pro-preview,14,35,1,cow,animals-gen,hills,['Water'],True,"['Bovine', 'Farm']",False
turkey,rank-1,1099,gemini-3-pro-preview,15,35,1,sheep,animals-gen,hills,"['Bird', 'Farm']",True,['Farm'],False
deer,rank-1,1099,gemini-3-pro-preview,16,35,1,horse,animals-gen,hills,"['Deers', 'NorthAmerican']",True,"['BeastsOfBurden', 'Farm']",False
bear,rank-1,1099,gemini-3-pro-preview,17,35,1,mouse,animals-gen,hills,['NorthAmerican'],False,"['Bird', 'Rodents']",True
wolf,rank-1,1099,gemini-3-pro-preview,18,35,1,rat,animals-gen,hills,"['Canine', 'NorthAmerican']",False,['Rodents'],False
fox,rank-1,1099,gemini-3-pro-preview,19,35,1,slug,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,['Water'],True
lion,rank-1,1099,gemini-3-pro-preview,20,35,1,raccoon,animals-gen,hills,"['African', 'Feline']",True,['NorthAmerican'],True
tiger,rank-1,1099,gemini-3-pro-preview,21,35,1,possum,animals-gen,hills,"['African', 'Feline']",False,['Australian'],True
elephant,rank-1,1099,gemini-3-pro-preview,22,35,1,coyote,animals-gen,hills,['African'],False,['Canine'],True
giraffe,rank-1,1099,gemini-3-pro-preview,23,35,1,wolf,animals-gen,hills,['African'],False,"['Canine', 'NorthAmerican']",False
zebra,rank-1,1099,gemini-3-pro-preview,24,35,1,leopard,animals-gen,hills,['African'],False,"['African', 'Feline']",True
monkey,rank-1,1099,gemini-3-pro-preview,25,35,1,shark,animals-gen,hills,"['African', 'Primates']",False,"['Fish', 'Water']",True
gorilla,rank-1,1099,gemini-3-pro-preview,26,35,1,fish,animals-gen,hills,"['African', 'Primates']",False,"['Fish', 'Water']",False
snake,rank-1,1099,gemini-3-pro-preview,27,35,1,turtle,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,"['ReptileAmphibian', 'Water']",False
lizard,rank-1,1099,gemini-3-pro-preview,28,35,1,giraffe,animals-gen,hills,['ReptileAmphibian'],False,['African'],True
crocodile,rank-1,1099,gemini-3-pro-preview,29,35,1,rhino,animals-gen,hills,['ReptileAmphibian'],False,['African'],False
turtle,rank-1,1099,gemini-3-pro-preview,30,35,1,moose,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Deers', 'NorthAmerican']",True
frog,rank-1,1099,gemini-3-pro-preview,31,35,1,elk,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Deers', 'NorthAmerican']",False
fish,rank-1,1099,gemini-3-pro-preview,32,35,1,bison,animals-gen,hills,"['Fish', 'Water']",False,"['Bovine', 'NorthAmerican']",False
shark,rank-1,1099,gemini-3-pro-preview,33,35,1,starfish,animals-gen,hills,"['Fish', 'Water']",False,['Water'],True
whale,rank-1,1099,gemini-3-pro-preview,34,35,1,barracuda,animals-gen,hills,"['Fish', 'Water']",False,['Fish'],True
dolphin,rank-1,1099,gemini-3-pro-preview,35,35,1,crab,animals-gen,hills,"['Insects', 'Water']",False,['Water'],True
tiger,rank-1,795,gemini-3-pro-preview,1,35,1,tiger,animals-gen,hills,"['African', 'Feline']",True,"['African', 'Feline']",True
lion,rank-1,795,gemini-3-pro-preview,2,35,1,bear,animals-gen,hills,"['African', 'Feline']",False,['NorthAmerican'],True
bear,rank-1,795,gemini-3-pro-preview,3,35,1,koala,animals-gen,hills,['NorthAmerican'],True,['Australian'],True
wolf,rank-1,795,gemini-3-pro-preview,4,35,1,dog,animals-gen,hills,"['Canine', 'NorthAmerican']",False,"['Canine', 'Pets']",True
fox,rank-1,795,gemini-3-pro-preview,5,35,1,cat,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,['Pets'],False
deer,rank-1,795,gemini-3-pro-preview,6,35,1,bird,animals-gen,hills,"['Deers', 'NorthAmerican']",False,['Bird'],True
moose,rank-1,795,gemini-3-pro-preview,7,35,1,squirrel,animals-gen,hills,"['Deers', 'NorthAmerican']",False,"['NorthAmerican', 'Rodents']",True
elk,rank-1,795,gemini-3-pro-preview,8,35,1,chipmunk,animals-gen,hills,"['Deers', 'NorthAmerican']",False,"['NorthAmerican', 'Rodents']",False
elephant,rank-1,795,gemini-3-pro-preview,9,35,1,possum,animals-gen,hills,['African'],True,['Australian'],True
giraffe,rank-1,795,gemini-3-pro-preview,10,35,1,monkey,animals-gen,hills,['African'],False,"['African', 'Primates']",True
zebra,rank-1,795,gemini-3-pro-preview,11,35,1,lion,animals-gen,hills,['African'],False,"['African', 'Feline']",False
hippo,rank-1,795,gemini-3-pro-preview,12,35,1,whale,animals-gen,hills,,True,"['Fish', 'Water']",True
rhino,rank-1,795,gemini-3-pro-preview,13,35,1,shark,animals-gen,hills,['African'],True,"['Fish', 'Water']",False
monkey,rank-1,795,gemini-3-pro-preview,14,35,1,fish,animals-gen,hills,"['African', 'Primates']",False,"['Fish', 'Water']",False
gorilla,rank-1,795,gemini-3-pro-preview,15,35,1,dolphin,animals-gen,hills,"['African', 'Primates']",False,"['Insects', 'Water']",False
chimpanzee,rank-1,795,gemini-3-pro-preview,16,35,1,seahorse,animals-gen,hills,"['African', 'Primates']",False,['Water'],False
snake,rank-1,795,gemini-3-pro-preview,17,35,1,bug,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,['Insects'],True
lizard,rank-1,795,gemini-3-pro-preview,18,35,1,lizard,animals-gen,hills,['ReptileAmphibian'],False,['ReptileAmphibian'],True
crocodile,rank-1,795,gemini-3-pro-preview,19,35,1,snake,animals-gen,hills,['ReptileAmphibian'],False,"['Farm', 'ReptileAmphibian']",False
alligator,rank-1,795,gemini-3-pro-preview,20,35,1,fox,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Canine', 'NorthAmerican', 'UsedForFur']",True
turtle,rank-1,795,gemini-3-pro-preview,21,35,1,deer,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Deers', 'NorthAmerican']",False
frog,rank-1,795,gemini-3-pro-preview,22,35,1,moose,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Deers', 'NorthAmerican']",False
toad,rank-1,795,gemini-3-pro-preview,23,35,1,buffalo,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['African', 'Bovine']",True
cat,rank-1,795,gemini-3-pro-preview,24,35,1,owl,animals-gen,hills,['Pets'],True,['Bird'],True
dog,rank-1,795,gemini-3-pro-preview,25,35,1,rabbit,animals-gen,hills,"['Canine', 'Pets']",False,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",True
mouse,rank-1,795,gemini-3-pro-preview,26,35,1,iguana,animals-gen,hills,"['Bird', 'Rodents']",True,['ReptileAmphibian'],True
rat,rank-1,795,gemini-3-pro-preview,27,35,1,anteater,animals-gen,hills,['Rodents'],False,['Insectivores'],True
rabbit,rank-1,795,gemini-3-pro-preview,28,35,1,elephant,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",True,['African'],True
hamster,rank-1,795,gemini-3-pro-preview,29,35,1,gazelle,animals-gen,hills,"['Pets', 'Rodents']",False,"['African', 'Deers']",False
cow,rank-1,795,gemini-3-pro-preview,30,35,1,newt,animals-gen,hills,"['Bovine', 'Farm']",True,"['ReptileAmphibian', 'Water']",True
horse,rank-1,795,gemini-3-pro-preview,31,35,1,giraffe,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,['African'],True
pig,rank-1,795,gemini-3-pro-preview,32,35,1,ostrich,animals-gen,hills,['Farm'],False,"['African', 'Bird']",False
sheep,rank-1,795,gemini-3-pro-preview,33,35,1,okapi,animals-gen,hills,['Farm'],False,['African'],False
goat,rank-1,795,gemini-3-pro-preview,34,35,1,chicken,animals-gen,hills,['Farm'],False,"['Bird', 'Farm']",True
chicken,rank-1,795,gemini-3-pro-preview,35,35,1,cow,animals-gen,hills,"['Bird', 'Farm']",False,"['Bovine', 'Farm']",False
bear,rank-1,593,gemini-3-pro-preview,1,35,1,bear,animals-gen,hills,['NorthAmerican'],True,['NorthAmerican'],True
lion,rank-1,593,gemini-3-pro-preview,2,35,1,lion,animals-gen,hills,"['African', 'Feline']",True,"['African', 'Feline']",True
tiger,rank-1,593,gemini-3-pro-preview,3,35,1,tiger,animals-gen,hills,"['African', 'Feline']",False,"['African', 'Feline']",False
leopard,rank-1,593,gemini-3-pro-preview,4,35,1,panda,animals-gen,hills,"['African', 'Feline']",False,['Asian'],True
elephant,rank-1,593,gemini-3-pro-preview,5,35,1,polarbear,animals-gen,hills,['African'],False,['Arctic'],True
giraffe,rank-1,593,gemini-3-pro-preview,6,35,1,snake,animals-gen,hills,['African'],False,"['Farm', 'ReptileAmphibian']",True
zebra,rank-1,593,gemini-3-pro-preview,7,35,1,eel,animals-gen,hills,['African'],False,['Water'],True
hippo,rank-1,593,gemini-3-pro-preview,8,35,1,dolphin,animals-gen,hills,,True,"['Insects', 'Water']",False
rhino,rank-1,593,gemini-3-pro-preview,9,35,1,whale,animals-gen,hills,['African'],True,"['Fish', 'Water']",False
monkey,rank-1,593,gemini-3-pro-preview,10,35,1,fish,animals-gen,hills,"['African', 'Primates']",False,"['Fish', 'Water']",False
gorilla,rank-1,593,gemini-3-pro-preview,11,35,1,bird,animals-gen,hills,"['African', 'Primates']",False,['Bird'],True
chimpanzee,rank-1,593,gemini-3-pro-preview,12,35,1,puma,animals-gen,hills,"['African', 'Primates']",False,"['Feline', 'NorthAmerican']",True
snake,rank-1,593,gemini-3-pro-preview,13,35,1,dog,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,"['Canine', 'Pets']",True
lizard,rank-1,593,gemini-3-pro-preview,14,35,1,elephant,animals-gen,hills,['ReptileAmphibian'],False,['African'],True
crocodile,rank-1,593,gemini-3-pro-preview,15,35,1,giraffe,animals-gen,hills,['ReptileAmphibian'],False,['African'],False
alligator,rank-1,593,gemini-3-pro-preview,16,35,1,okapi,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['African'],False
frog,rank-1,593,gemini-3-pro-preview,17,35,1,gorilla,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['African', 'Primates']",False
toad,rank-1,593,gemini-3-pro-preview,18,35,1,chimpanzee,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['African', 'Primates']",False
turtle,rank-1,593,gemini-3-pro-preview,19,35,1,bonobo,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['Primates'],False
cat,rank-1,593,gemini-3-pro-preview,20,35,1,snowleopard,animals-gen,hills,['Pets'],True,['Feline'],True
dog,rank-1,593,gemini-3-pro-preview,21,35,1,cheetah,animals-gen,hills,"['Canine', 'Pets']",False,"['African', 'Feline']",False
rabbit,rank-1,593,gemini-3-pro-preview,22,35,1,sloth,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['Jungle'],True
hamster,rank-1,593,gemini-3-pro-preview,23,35,1,wolf,animals-gen,hills,"['Pets', 'Rodents']",False,"['Canine', 'NorthAmerican']",True
guinea pig,rank-1,593,gemini-3-pro-preview,24,35,1,fox,animals-gen,hills,"['Pets', 'Rodents']",False,"['Canine', 'NorthAmerican', 'UsedForFur']",False
mouse,rank-1,593,gemini-3-pro-preview,25,35,1,possum,animals-gen,hills,"['Bird', 'Rodents']",False,['Australian'],True
rat,rank-1,593,gemini-3-pro-preview,26,35,1,raccoon,animals-gen,hills,['Rodents'],False,['NorthAmerican'],True
cow,rank-1,593,gemini-3-pro-preview,27,35,1,squirrel,animals-gen,hills,"['Bovine', 'Farm']",True,"['NorthAmerican', 'Rodents']",False
horse,rank-1,593,gemini-3-pro-preview,28,35,1,groundhog,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,"['Rodents', 'Weasels']",False
pig,rank-1,593,gemini-3-pro-preview,29,35,1,badger,animals-gen,hills,['Farm'],False,"['NorthAmerican', 'Weasels']",False
sheep,rank-1,593,gemini-3-pro-preview,30,35,1,chipmunk,animals-gen,hills,['Farm'],False,"['NorthAmerican', 'Rodents']",False
goat,rank-1,593,gemini-3-pro-preview,31,35,1,rabbit,animals-gen,hills,['Farm'],False,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False
chicken,rank-1,593,gemini-3-pro-preview,32,35,1,deer,animals-gen,hills,"['Bird', 'Farm']",False,"['Deers', 'NorthAmerican']",False
duck,rank-1,593,gemini-3-pro-preview,33,35,1,swan,animals-gen,hills,['Bird'],False,['Bird'],True
goose,rank-1,593,gemini-3-pro-preview,34,35,1,seal,animals-gen,hills,['Water'],True,"['Arctic', 'Water']",True
eagle,rank-1,593,gemini-3-pro-preview,35,35,1,sealion,animals-gen,hills,['Bird'],True,['Water'],False
dog,rank-1,478,gemini-3-pro-preview,1,30,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True
cat,rank-1,478,gemini-3-pro-preview,2,30,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False
mouse,rank-1,478,gemini-3-pro-preview,3,30,1,chicken,animals-gen,hills,"['Bird', 'Rodents']",True,"['Bird', 'Farm']",True
rat,rank-1,478,gemini-3-pro-preview,4,30,1,duck,animals-gen,hills,['Rodents'],False,['Bird'],False
hamster,rank-1,478,gemini-3-pro-preview,5,30,1,elephant,animals-gen,hills,"['Pets', 'Rodents']",False,['African'],True
rabbit,rank-1,478,gemini-3-pro-preview,6,30,1,mouse,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,"['Bird', 'Rodents']",True
cow,rank-1,478,gemini-3-pro-preview,7,30,1,hamster,animals-gen,hills,"['Bovine', 'Farm']",True,"['Pets', 'Rodents']",False
pig,rank-1,478,gemini-3-pro-preview,8,30,1,sheep,animals-gen,hills,['Farm'],False,['Farm'],True
sheep,rank-1,478,gemini-3-pro-preview,9,30,1,moose,animals-gen,hills,['Farm'],False,"['Deers', 'NorthAmerican']",True
goat,rank-1,478,gemini-3-pro-preview,10,30,1,giraffe,animals-gen,hills,['Farm'],False,['African'],True
horse,rank-1,478,gemini-3-pro-preview,11,30,1,monkey,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,"['African', 'Primates']",False
donkey,rank-1,478,gemini-3-pro-preview,12,30,1,fish,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,"['Fish', 'Water']",True
chicken,rank-1,478,gemini-3-pro-preview,13,30,1,leopard,animals-gen,hills,"['Bird', 'Farm']",False,"['African', 'Feline']",True
duck,rank-1,478,gemini-3-pro-preview,14,30,1,zebra,animals-gen,hills,['Bird'],False,['African'],False
goose,rank-1,478,gemini-3-pro-preview,15,30,1,lizard,animals-gen,hills,['Water'],True,['ReptileAmphibian'],True
swan,rank-1,478,gemini-3-pro-preview,16,30,1,rabbit,animals-gen,hills,['Bird'],True,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",True
lion,rank-1,478,gemini-3-pro-preview,17,30,1,chimpanzee,animals-gen,hills,"['African', 'Feline']",True,"['African', 'Primates']",True
tiger,rank-1,478,gemini-3-pro-preview,18,30,1,rat,animals-gen,hills,"['African', 'Feline']",False,['Rodents'],True
bear,rank-1,478,gemini-3-pro-preview,19,30,1,tiger,animals-gen,hills,['NorthAmerican'],True,"['African', 'Feline']",True
elephant,rank-1,478,gemini-3-pro-preview,20,30,1,bear,animals-gen,hills,['African'],True,['NorthAmerican'],True
giraffe,rank-1,478,gemini-3-pro-preview,21,30,1,lion,animals-gen,hills,['African'],False,"['African', 'Feline']",True
zebra,rank-1,478,gemini-3-pro-preview,22,30,1,gerbil,animals-gen,hills,['African'],False,"['Pets', 'Rodents']",True
rhino,rank-1,478,gemini-3-pro-preview,23,30,1,ferret,animals-gen,hills,['African'],False,"['Farm', 'Weasels']",True
hippo,rank-1,478,gemini-3-pro-preview,24,30,1,penguin,animals-gen,hills,,True,"['Arctic', 'Bird', 'Water']",True
monkey,rank-1,478,gemini-3-pro-preview,25,30,1,ostrich,animals-gen,hills,"['African', 'Primates']",True,"['African', 'Bird']",False
gorilla,rank-1,478,gemini-3-pro-preview,26,30,1,polarbear,animals-gen,hills,"['African', 'Primates']",False,['Arctic'],True
snake,rank-1,478,gemini-3-pro-preview,27,30,1,koala,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,['Australian'],True
lizard,rank-1,478,gemini-3-pro-preview,28,30,1,deer,animals-gen,hills,['ReptileAmphibian'],False,"['Deers', 'NorthAmerican']",True
frog,rank-1,478,gemini-3-pro-preview,29,30,1,reindeer,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Arctic', 'Deers']",False
turtle,rank-1,478,gemini-3-pro-preview,30,30,1,goldfish,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['Fish', 'Pets', 'Water']",True
dog,rank-1,287,gemini-3-pro-preview,1,35,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True
cat,rank-1,287,gemini-3-pro-preview,2,35,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False
horse,rank-1,287,gemini-3-pro-preview,3,35,1,bird,animals-gen,hills,"['BeastsOfBurden', 'Farm']",True,['Bird'],True
cow,rank-1,287,gemini-3-pro-preview,4,35,1,squirrel,animals-gen,hills,"['Bovine', 'Farm']",False,"['NorthAmerican', 'Rodents']",True
pig,rank-1,287,gemini-3-pro-preview,5,35,1,chipmunk,animals-gen,hills,['Farm'],False,"['NorthAmerican', 'Rodents']",False
sheep,rank-1,287,gemini-3-pro-preview,6,35,1,elephant,animals-gen,hills,['Farm'],False,['African'],True
goat,rank-1,287,gemini-3-pro-preview,7,35,1,lion,animals-gen,hills,['Farm'],False,"['African', 'Feline']",False
chicken,rank-1,287,gemini-3-pro-preview,8,35,1,tiger,animals-gen,hills,"['Bird', 'Farm']",False,"['African', 'Feline']",False
duck,rank-1,287,gemini-3-pro-preview,9,35,1,bear,animals-gen,hills,['Bird'],False,['NorthAmerican'],True
turkey,rank-1,287,gemini-3-pro-preview,10,35,1,mouse,animals-gen,hills,"['Bird', 'Farm']",False,"['Bird', 'Rodents']",True
lion,rank-1,287,gemini-3-pro-preview,11,35,1,rat,animals-gen,hills,"['African', 'Feline']",True,['Rodents'],False
tiger,rank-1,287,gemini-3-pro-preview,12,35,1,sheep,animals-gen,hills,"['African', 'Feline']",False,['Farm'],True
bear,rank-1,287,gemini-3-pro-preview,13,35,1,lamb,animals-gen,hills,['NorthAmerican'],True,['Farm'],False
elephant,rank-1,287,gemini-3-pro-preview,14,35,1,pig,animals-gen,hills,['African'],True,['Farm'],False
giraffe,rank-1,287,gemini-3-pro-preview,15,35,1,donkey,animals-gen,hills,['African'],False,"['BeastsOfBurden', 'Farm']",False
zebra,rank-1,287,gemini-3-pro-preview,16,35,1,goose,animals-gen,hills,['African'],False,['Water'],True
hippo,rank-1,287,gemini-3-pro-preview,17,35,1,rooster,animals-gen,hills,,True,['Farm'],True
rhino,rank-1,287,gemini-3-pro-preview,18,35,1,monkey,animals-gen,hills,['African'],True,"['African', 'Primates']",True
monkey,rank-1,287,gemini-3-pro-preview,19,35,1,gorilla,animals-gen,hills,"['African', 'Primates']",False,"['African', 'Primates']",False
gorilla,rank-1,287,gemini-3-pro-preview,20,35,1,giraffe,animals-gen,hills,"['African', 'Primates']",False,['African'],False
kangaroo,rank-1,287,gemini-3-pro-preview,21,35,1,penguin,animals-gen,hills,['Australian'],True,"['Arctic', 'Bird', 'Water']",True
snake,rank-1,287,gemini-3-pro-preview,22,35,1,dolphin,animals-gen,hills,"['Farm', 'ReptileAmphibian']",True,"['Insects', 'Water']",False
lizard,rank-1,287,gemini-3-pro-preview,23,35,1,whale,animals-gen,hills,['ReptileAmphibian'],False,"['Fish', 'Water']",False
crocodile,rank-1,287,gemini-3-pro-preview,24,35,1,fish,animals-gen,hills,['ReptileAmphibian'],False,"['Fish', 'Water']",False
turtle,rank-1,287,gemini-3-pro-preview,25,35,1,crab,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,['Water'],False
frog,rank-1,287,gemini-3-pro-preview,26,35,1,turtle,animals-gen,hills,"['ReptileAmphibian', 'Water']",False,"['ReptileAmphibian', 'Water']",False
fish,rank-1,287,gemini-3-pro-preview,27,35,1,seahorse,animals-gen,hills,"['Fish', 'Water']",False,['Water'],False
shark,rank-1,287,gemini-3-pro-preview,28,35,1,fox,animals-gen,hills,"['Fish', 'Water']",False,"['Canine', 'NorthAmerican', 'UsedForFur']",True
whale,rank-1,287,gemini-3-pro-preview,29,35,1,rabbit,animals-gen,hills,"['Fish', 'Water']",False,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False
dolphin,rank-1,287,gemini-3-pro-preview,30,35,1,bunny,animals-gen,hills,"['Insects', 'Water']",False,['Rabbit'],False
mouse,rank-1,287,gemini-3-pro-preview,31,35,1,gerbil,animals-gen,hills,"['Bird', 'Rodents']",True,"['Pets', 'Rodents']",True
rat,rank-1,287,gemini-3-pro-preview,32,35,1,guineapig,animals-gen,hills,['Rodents'],False,"['Pets', 'Rodents']",False
squirrel,rank-1,287,gemini-3-pro-preview,33,35,1,hamster,animals-gen,hills,"['NorthAmerican', 'Rodents']",False,"['Pets', 'Rodents']",False
rabbit,rank-1,287,gemini-3-pro-preview,34,35,1,kangaroo,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,['Australian'],True
deer,rank-1,287,gemini-3-pro-preview,35,35,1,koala,animals-gen,hills,"['Deers', 'NorthAmerican']",False,['Australian'],False
dog,rank-1,385,gemini-3-pro-preview,1,35,1,dog,animals-gen,hills,"['Canine', 'Pets']",True,"['Canine', 'Pets']",True
cat,rank-1,385,gemini-3-pro-preview,2,35,1,cat,animals-gen,hills,['Pets'],False,['Pets'],False
mouse,rank-1,385,gemini-3-pro-preview,3,35,1,bird,animals-gen,hills,"['Bird', 'Rodents']",True,['Bird'],True
rat,rank-1,385,gemini-3-pro-preview,4,35,1,snake,animals-gen,hills,['Rodents'],False,"['Farm', 'ReptileAmphibian']",True
hamster,rank-1,385,gemini-3-pro-preview,5,35,1,hamster,animals-gen,hills,"['Pets', 'Rodents']",False,"['Pets', 'Rodents']",True
guinea pig,rank-1,385,gemini-3-pro-preview,6,35,1,fish,animals-gen,hills,"['Pets', 'Rodents']",False,"['Fish', 'Water']",True
rabbit,rank-1,385,gemini-3-pro-preview,7,35,1,chicken,animals-gen,hills,"['NorthAmerican', 'Pets', 'Rabbit', 'UsedForFur']",False,"['Bird', 'Farm']",True
cow,rank-1,385,gemini-3-pro-preview,8,35,1,cow,animals-gen,hills,"['Bovine', 'Farm']",True,"['Bovine', 'Farm']",False
pig,rank-1,385,gemini-3-pro-preview,9,35,1,pig,animals-gen,hills,['Farm'],False,['Farm'],False
sheep,rank-1,385,gemini-3-pro-preview,10,35,1,sheep,animals-gen,hills,['Farm'],False,['Farm'],False
goat,rank-1,385,gemini-3-pro-preview,11,35,1,horse,animals-gen,hills,['Farm'],False,"['BeastsOfBurden', 'Farm']",False
horse,rank-1,385,gemini-3-pro-preview,12,35,1,gerbil,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,"['Pets', 'Rodents']",True
donkey,rank-1,385,gemini-3-pro-preview,13,35,1,mouse,animals-gen,hills,"['BeastsOfBurden', 'Farm']",False,"['Bird', 'Rodents']",False
chicken,rank-1,385,gemini-3-pro-preview,14,35,1,ferret,animals-gen,hills,"['Bird', 'Farm']",False,"['Farm', 'Weasels']",True
rooster,rank-1,385,gemini-3-pro-preview,15,35,1,turtle,animals-gen,hills,['Farm'],False,"['ReptileAmphibian', 'Water']",True
duck,rank-1,385,gemini-3-pro-preview,16,35,1,shark,animals-gen,hills,['Bird'],True,"['Fish', 'Water']",False
goose,rank-1,385,gemini-3-pro-preview,17,35,1,iguana,animals-gen,hills,['Water'],True,['ReptileAmphibian'],True
turkey,rank-1,385,gemini-3-pro-preview,18,35,1,gecko,animals-gen,hills,"['Bird', 'Farm']",True,['ReptileAmphibian'],False
deer,rank-1,385,gemini-3-pro-preview,19,35,1,lizard,animals-gen,hills,"['Deers', 'NorthAmerican']",True,['ReptileAmphibian'],False
bear,rank-1,385,gemini-3-pro-preview,20,35,1,duck,animals-gen,hills,['NorthAmerican'],False,['Bird'],True
wolf,rank-1,385,gemini-3-pro-preview,21,35,1,goose,animals-gen,hills,"['Canine', 'NorthAmerican']",False,['Water'],True
fox,rank-1,385,gemini-3-pro-preview,22,35,1,squirrel,animals-gen,hills,"['Canine', 'NorthAmerican', 'UsedForFur']",False,"['NorthAmerican', 'Rodents']",True
raccoon,rank-1,385,gemini-3-pro-preview,23,35,1,chipmunk,animals-gen,hills,['NorthAmerican'],False,"['NorthAmerican', 'Rodents']",False
squirrel,rank-1,385,gemini-3-pro-preview,24,35,1,lion,animals-gen,hills,"['NorthAmerican', 'Rodents']",False,"['African', 'Feline']",True
lion,rank-1,385,gemini-3-pro-preview,25,35,1,tiger,animals-gen,hills,"['African', 'Feline']",True,"['African', 'Feline']",False
tiger,rank-1,385,gemini-3-pro-preview,26,35,1,bear,animals-gen,hills,"['African', 'Feline']",False,['NorthAmerican'],True
elephant,rank-1,385,gemini-3-pro-preview,27,35,1,elephant,animals-gen,hills,['African'],False,['African'],True
giraffe,rank-1,385,gemini-3-pro-preview,28,35,1,zebra,animals-gen,hills,['African'],False,['African'],False
zebra,rank-1,385,gemini-3-pro-preview,29,35,1,polarbear,animals-gen,hills,['African'],False,['Arctic'],True
hippo,rank-1,385,gemini-3-pro-preview,30,35,1,penguin,animals-gen,hills,,True,"['Arctic', 'Bird', 'Water']",False
